     154,205,1;153,3006,1,   154,0.889406244423


      151,201,1;151,152,1,  3018,0.831461550739
      151,201,1;151,152,1,   151,0.436200341013
      151,201,1;151,152,1,   152,0.545297323044
      151,201,1;151,152,1,   153,0.575081748256
      151,201,1;151,152,1,   154,0.682572310759
      151,201,1;151,152,1,  3001,0.855506070283
      151,201,1;151,152,1,  3002,0.821160155003
      151,201,1;151,152,1,  3003,0.822802346893
      151,201,1;151,152,1,  3004,0.685042758795
      151,201,1;151,152,1,  3005,0.70348902474
      151,201,1;151,152,1,  3006,0.611862094798
      151,201,1;151,152,1,  3007,0.695269258709
      151,201,1;151,152,1,  3008,0.703452770343
      151,201,1;151,152,1,   201,0.788950891643
      151,201,1;151,152,1,   202,0.632636074187
      151,201,1;151,152,1,   203,0.662720139029
      151,201,1;151,152,1,   204,0.737088299423
      151,201,1;151,152,1,   205,0.709308064748
      151,201,1;151,152,1,   206,0.848726637728
      151,201,1;151,152,1,   101,0.596578050188
      151,201,1;151,152,1,   102,0.596578050188


      151,201,1;151,152,2,  3018,0.831461550739
      151,201,1;151,152,2,   151,0.436200341013
      151,201,1;151,152,2,   152,0.545297323044
      151,201,1;151,152,2,   153,0.575081748256
      151,201,1;151,152,2,   154,0.682572310759
      151,201,1;151,152,2,  3001,0.855506070283
      151,201,1;151,152,2,  3002,0.821160155003
      151,201,1;151,152,2,  3003,0.822802346893
      151,201,1;151,152,2,  3004,0.685042758795
      151,201,1;151,152,2,  3005,0.70348902474
      151,201,1;151,152,2,  3006,0.611862094798
      151,201,1;151,152,2,  3007,0.695269258709
      151,201,1;151,152,2,  3008,0.703452770343
      151,201,1;151,152,2,   201,0.788950891643
      151,201,1;151,152,2,   202,0.632636074187
      151,201,1;151,152,2,   203,0.662720139029
      151,201,1;151,152,2,   204,0.737088299423
      151,201,1;151,152,2,   205,0.709308064748
      151,201,1;151,152,2,   206,0.848726637728
      151,201,1;151,152,2,   101,0.596578050188
      151,201,1;151,152,2,   102,0.596578050188


      151,152,2;154,205,1,   154,0.873992170993


     152,3004,1;154,205,1,   154,0.865608233588


     201,204,1;152,3004,1,   154,0.89002446428


      151,152,2;151,152,1,   154,0.892617852641


    154,205,1;3001,3003,1,   154,0.88928900114


      203,205,2;154,205,1,   154,0.893954940848


      201,204,1;154,205,1,   154,0.881893711458


    3005,3007,1;154,205,1,   154,0.887835697286
    3005,3007,1;154,205,1,  3007,0.889713298901


      151,201,1;154,205,1,   154,0.892495092274


    3007,3008,1;154,205,1,   154,0.893513794615


      201,202,1;151,152,2,   154,0.889903058565


      201,202,1;151,152,1,   154,0.889903058565


      154,205,1;153,154,1,   154,0.869377790961


      154,205,1;153,154,2,   154,0.874256465109


      201,202,1;154,205,1,   154,0.867897846554


      201,202,1;152,202,1,   202,0.897797284952
      201,202,1;152,202,1,   203,0.897797284952


      201,204,1;151,152,2,   154,0.884244773233
      201,204,1;151,152,2,   203,0.893475880788
      201,204,1;151,152,2,   204,0.895558215762
      201,204,1;151,152,2,   205,0.895558215762


      201,202,1;201,204,1,   152,0.881039036983
      201,202,1;201,204,1,   153,0.870002017806
      201,202,1;201,204,1,   154,0.854766081969
      201,202,1;201,204,1,  3006,0.881717798971
      201,202,1;201,204,1,  3007,0.885928628996
      201,202,1;201,204,1,  3008,0.883452307205
      201,202,1;201,204,1,   202,0.8687739915
      201,202,1;201,204,1,   203,0.858085387184
      201,202,1;201,204,1,   204,0.868411683479
      201,202,1;201,204,1,   205,0.868411683479


      151,152,1;154,205,1,   154,0.873992170993


      203,205,1;154,205,1,   154,0.893954940848


      154,203,1;154,205,1,   154,0.854756310812


    3005,3006,1;154,205,1,   154,0.889244557922


  3005,3007,1;3007,3008,1,  3007,       0.0


      201,204,1;151,152,1,   154,0.884244773233
      201,204,1;151,152,1,   203,0.893475880788
      201,204,1;151,152,1,   204,0.895558215762
      201,204,1;151,152,1,   205,0.895558215762


      152,202,1;154,205,1,   154,0.889831771521


    3005,3008,1;154,205,1,   154,0.890459524244


     154,205,1;154,3008,1,   154,0.866991330539


