Lines out:		Average voltage
201,204,1;3005,3008,1:			0.967147677256
154,203,1;201,204,1:			0.967427636293
201,204,1;154,203,1:			0.967427636293
3005,3006,1;201,204,1:			0.96744653257
201,204,1;3005,3006,1:			0.96744653257
203,205,2;201,204,1:			0.967855225422
203,205,1;201,204,1:			0.967855225422
201,204,1;203,205,2:			0.967855225422
201,204,1;203,205,1:			0.967855225422
201,204,1;3007,3008,1:			0.968437671395
3007,3008,1;201,204,1:			0.968437671395
201,204,1;153,154,2:			0.968689481615
153,154,2;201,204,1:			0.968689481615
201,202,1;3003,3005,1:			0.969619542688
201,202,1;3003,3005,2:			0.969619542688
3003,3005,1;201,202,1:			0.969619542688
3003,3005,2;201,202,1:			0.969619542688
201,204,1;153,154,1:			0.969807337033
153,154,1;201,204,1:			0.969807337033
3002,3004,1;201,202,1:			0.970148466909
201,202,1;3002,3004,1:			0.970148466909
3005,3007,1;201,202,1:			0.97028474213
201,202,1;3005,3007,1:			0.97028474213
201,204,1;154,3008,1:			0.971723970726
154,3008,1;201,204,1:			0.971723970726
3005,3007,1;3007,3008,1:			0.971778211598
3007,3008,1;3005,3007,1:			0.971778211598
201,202,1;3005,3008,1:			0.971784525514
3005,3008,1;201,202,1:			0.971784525514
201,202,1;153,3006,1:			0.971853949779
153,3006,1;201,202,1:			0.971853949779
201,202,1;3005,3006,1:			0.972068936933
3005,3006,1;201,202,1:			0.972068936933
203,205,2;201,202,1:			0.972116744152
201,202,1;203,205,1:			0.972116744152
203,205,1;201,202,1:			0.972116744152
201,202,1;203,205,2:			0.972116744152
201,202,1;154,203,1:			0.972264152177
154,203,1;201,202,1:			0.972264152177
3002,3004,1;152,3004,1:			0.972465012627
152,3004,1;3002,3004,1:			0.972465012627
201,202,1;3007,3008,1:			0.972475165556
3007,3008,1;201,202,1:			0.972475165556
3003,3005,2;152,3004,1:			0.972573358314
152,3004,1;3003,3005,1:			0.972573358314
152,3004,1;3003,3005,2:			0.972573358314
3003,3005,1;152,3004,1:			0.972573358314
152,3004,1;153,3006,1:			0.972922291824
153,3006,1;152,3004,1:			0.972922291824
152,3004,1;3005,3007,1:			0.972937530749
3005,3007,1;152,3004,1:			0.972937530749
153,154,2;201,202,1:			0.973633868019
201,202,1;153,154,2:			0.973633868019
154,3008,1;201,202,1:			0.974194505618
201,202,1;154,3008,1:			0.974194505618
152,3004,1;3005,3008,1:			0.974242289661
3005,3008,1;152,3004,1:			0.974242289661
154,205,1;151,201,1:			0.974439726929
151,201,1;154,205,1:			0.974439726929
3005,3006,1;152,3004,1:			0.974565983059
152,3004,1;3005,3006,1:			0.974565983059
152,3004,1;3007,3008,1:			0.974592476409
3007,3008,1;152,3004,1:			0.974592476409
154,203,1;152,3004,1:			0.974686600761
152,3004,1;154,203,1:			0.974686600761
201,202,1;153,154,1:			0.974868527162
153,154,1;201,202,1:			0.974868527162
203,205,1;152,3004,1:			0.974883581912
152,3004,1;203,205,2:			0.974883581912
152,3004,1;203,205,1:			0.974883581912
